1747262767 INTERNAL *** MONITORD_STARTED ***
1747262766 INTERNAL *** DAGMAN_STARTED 19754876.0 ***
1747262767 create_dir_gw.dax_0_local SUBMIT 19754877.0 local - 1
1747262771 create_dir_gw.dax_0_local EXECUTE 19754877.0 local - 1
1747262773 create_dir_gw.dax_0_local JOB_TERMINATED 19754877.0 local - 1
1747262777 create_dir_gw.dax_0_local JOB_SUCCESS 0 local - 1
1747262777 create_dir_gw.dax_0_local POST_SCRIPT_STARTED 19754877.0 local - 1
1747262777 create_dir_gw.dax_0_local POST_SCRIPT_TERMINATED 19754877.0 local - 1
1747262782 create_dir_gw.dax_0_local POST_SCRIPT_SUCCESS 0 local - 1
1747262787 inference_ID0_ID0000001 SUBMIT 19754878.0 condorpool_symlink - 2
1747262787 inference_ID0_ID0000004 SUBMIT 19754879.0 condorpool_symlink - 3
1747262812 inference_ID0_ID0000001 EXECUTE 19754878.0 condorpool_symlink - 2
1747262812 inference_ID0_ID0000004 EXECUTE 19754879.0 condorpool_symlink - 3
1747262970 inference_ID0_ID0000004 JOB_TERMINATED 19754879.0 condorpool_symlink - 3
1747262972 inference_ID0_ID0000004 JOB_SUCCESS 0 condorpool_symlink - 3
1747262972 inference_ID0_ID0000004 POST_SCRIPT_STARTED 19754879.0 condorpool_symlink - 3
1747262973 inference_ID0_ID0000004 POST_SCRIPT_TERMINATED 19754879.0 condorpool_symlink - 3
1747262977 inference_ID0_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 3
1747262982 demarg_ID1_ID0000005 SUBMIT 19754880.0 condorpool_symlink - 4
1747262986 inference_ID0_ID0000001 JOB_TERMINATED 19754878.0 condorpool_symlink - 2
1747262987 inference_ID0_ID0000001 JOB_SUCCESS 0 condorpool_symlink - 2
1747262987 inference_ID0_ID0000001 POST_SCRIPT_STARTED 19754878.0 condorpool_symlink - 2
1747262987 inference_ID0_ID0000001 POST_SCRIPT_TERMINATED 19754878.0 condorpool_symlink - 2
1747262992 inference_ID0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 2
1747262997 stage_out_local_local_0_0 SUBMIT 19754881.0 local - 5
1747262997 demarg_ID1_ID0000002 SUBMIT 19754882.0 condorpool_symlink - 6
1747263000 demarg_ID1_ID0000005 EXECUTE 19754880.0 condorpool_symlink - 4
1747263001 stage_out_local_local_0_0 EXECUTE 19754881.0 local - 5
1747263005 stage_out_local_local_0_0 JOB_TERMINATED 19754881.0 local - 5
1747263007 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1747263007 stage_out_local_local_0_0 POST_SCRIPT_STARTED 19754881.0 local - 5
1747263007 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 19754881.0 local - 5
1747263012 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1747263032 demarg_ID1_ID0000002 EXECUTE 19754882.0 condorpool_symlink - 6
1747263082 demarg_ID1_ID0000005 JOB_TERMINATED 19754880.0 condorpool_symlink - 4
1747263082 demarg_ID1_ID0000005 JOB_SUCCESS 0 condorpool_symlink - 4
1747263082 demarg_ID1_ID0000005 POST_SCRIPT_STARTED 19754880.0 condorpool_symlink - 4
1747263082 demarg_ID1_ID0000005 POST_SCRIPT_TERMINATED 19754880.0 condorpool_symlink - 4
1747263087 demarg_ID1_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 4
1747263092 plot_ID2_ID0000006 SUBMIT 19754883.0 condorpool_symlink - 7
1747263098 plot_ID2_ID0000006 EXECUTE 19754883.0 condorpool_symlink - 7
1747263129 demarg_ID1_ID0000002 JOB_TERMINATED 19754882.0 condorpool_symlink - 6
1747263132 demarg_ID1_ID0000002 JOB_SUCCESS 0 condorpool_symlink - 6
1747263132 demarg_ID1_ID0000002 POST_SCRIPT_STARTED 19754882.0 condorpool_symlink - 6
1747263133 demarg_ID1_ID0000002 POST_SCRIPT_TERMINATED 19754882.0 condorpool_symlink - 6
1747263137 demarg_ID1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 6
1747263133 plot_ID2_ID0000006 JOB_TERMINATED 19754883.0 condorpool_symlink - 7
1747263137 plot_ID2_ID0000006 JOB_SUCCESS 0 condorpool_symlink - 7
1747263137 plot_ID2_ID0000006 POST_SCRIPT_STARTED 19754883.0 condorpool_symlink - 7
1747263137 plot_ID2_ID0000006 POST_SCRIPT_TERMINATED 19754883.0 condorpool_symlink - 7
1747263142 plot_ID2_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 7
1747263142 clean_up_local_level_3_0 SUBMIT 19754884.0 local - 8
1747263142 stage_out_local_local_1_0 SUBMIT 19754885.0 local - 9
1747263142 plot_ID2_ID0000003 SUBMIT 19754886.0 condorpool_symlink - 10
1747263142 clean_up_local_level_3_0 EXECUTE 19754884.0 local - 8
1747263142 stage_out_local_local_1_0 EXECUTE 19754885.0 local - 9
1747263146 stage_out_local_local_1_0 JOB_TERMINATED 19754885.0 local - 9
1747263147 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 9
1747263147 stage_out_local_local_1_0 POST_SCRIPT_STARTED 19754885.0 local - 9
1747263146 clean_up_local_level_3_0 JOB_TERMINATED 19754884.0 local - 8
1747263147 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 8
1747263147 clean_up_local_level_3_0 POST_SCRIPT_STARTED 19754884.0 local - 8
1747263147 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 19754884.0 local - 8
1747263152 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1747263147 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 19754885.0 local - 9
1747263152 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1747263147 plot_ID2_ID0000003 EXECUTE 19754886.0 condorpool_symlink - 10
1747263182 plot_ID2_ID0000003 JOB_TERMINATED 19754886.0 condorpool_symlink - 10
1747263187 plot_ID2_ID0000003 JOB_SUCCESS 0 condorpool_symlink - 10
1747263187 plot_ID2_ID0000003 POST_SCRIPT_STARTED 19754886.0 condorpool_symlink - 10
1747263187 plot_ID2_ID0000003 POST_SCRIPT_TERMINATED 19754886.0 condorpool_symlink - 10
1747263192 plot_ID2_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool_symlink - 10
1747263197 clean_up_local_level_4_0 SUBMIT 19754887.0 local - 11
1747263197 stage_out_local_local_2_0 SUBMIT 19754888.0 local - 12
1747263197 clean_up_local_level_4_0 EXECUTE 19754887.0 local - 11
1747263197 stage_out_local_local_2_0 EXECUTE 19754888.0 local - 12
1747263201 clean_up_local_level_4_0 JOB_TERMINATED 19754887.0 local - 11
1747263202 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 11
1747263202 clean_up_local_level_4_0 POST_SCRIPT_STARTED 19754887.0 local - 11
1747263201 stage_out_local_local_2_0 JOB_TERMINATED 19754888.0 local - 12
1747263202 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 12
1747263202 stage_out_local_local_2_0 POST_SCRIPT_STARTED 19754888.0 local - 12
1747263202 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 19754887.0 local - 11
1747263207 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 11
1747263202 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 19754888.0 local - 12
1747263207 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 12
1747263212 clean_up_local_level_5_0 SUBMIT 19754889.0 local - 13
1747263212 clean_up_local_level_5_0 EXECUTE 19754889.0 local - 13
1747263217 clean_up_local_level_5_0 JOB_TERMINATED 19754889.0 local - 13
1747263217 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 13
1747263217 clean_up_local_level_5_0 POST_SCRIPT_STARTED 19754889.0 local - 13
1747263217 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 19754889.0 local - 13
1747263222 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 13
1747263227 cleanup_gw.dax_0_local SUBMIT 19754890.0 local - 14
1747263228 cleanup_gw.dax_0_local EXECUTE 19754890.0 local - 14
1747263230 cleanup_gw.dax_0_local JOB_TERMINATED 19754890.0 local - 14
1747263232 cleanup_gw.dax_0_local JOB_SUCCESS 0 local - 14
1747263232 cleanup_gw.dax_0_local POST_SCRIPT_STARTED 19754890.0 local - 14
1747263233 cleanup_gw.dax_0_local POST_SCRIPT_TERMINATED 19754890.0 local - 14
1747263237 cleanup_gw.dax_0_local POST_SCRIPT_SUCCESS 0 local - 14
1747263237 INTERNAL *** DAGMAN_FINISHED 0 ***
1747263238 INTERNAL *** MONITORD_FINISHED 0 ***
